"","actual class","predicted class","N","median P(diving)"
"Chironectes_minimus","2","2","100","0.84"
"Rhynchocyon_petersi","0","0","0","0.1"
"Myrmecophaga_tridactyla","0","2","100","0.73"
"Diplomesodon_pulchellum","0","2","100","0.6"
"Tapirus_terrestris","2","2","100","0.56"
"Lama_guanicoe","0","0","0","0.11"
"Rodhocetus","2","2","100","0.93"
"Okapia_johnstoni","0","0","0","0.44"
"Cephalophus_silvicultor","0","0","0","0.45"
"Capreolus_capreolus","0","0","0","0.12"
"Spinosaurus_.11",NA,"0","0","0.45"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.94"
"Spinosaurus_.8",NA,"2","100","0.92"
"Spinosaurus_.7",NA,"2","100","0.88"
"Spinosaurus_.6",NA,"2","100","0.8"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.91"
"Spinosaurus_.2",NA,"2","100","0.87"
"Spinosaurus_.1",NA,"2","100","0.79"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.74"
"Baryonyx.2",NA,"2","100","0.87"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.31"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.93"
"Palaeospheniscus","2","2","100","0.76"
