"","actual class","predicted class","N","median P(diving)"
"Loxodonta_africana","0","2","100","0.96"
"Mammuthus_sp","0","2","100","0.9"
"Desmostylus_hesperus","2","0","0","0.36"
"Mus_musculus","0","0","0","0.05"
"Lutra_vulgaris","2","2","100","0.89"
"Uncia_uncia","0","0","0","0.46"
"Syncerus_caffer","0","2","100","0.78"
"Rangifer_tarandus","0","0","0","0.09"
"Anarosaurus","2","2","100","0.99"
"Serpianosaurus","2","2","100","1"
"Nothosaurus_568","2","2","100","0.98"
"Caiman_yacare","2","2","100","0.94"
"Spinosaurus_.11",NA,"2","72","0.51"
"Spinosaurus_.10",NA,"2","100","0.55"
"Spinosaurus_.9",NA,"2","100","0.98"
"Spinosaurus_.8",NA,"2","100","0.97"
"Spinosaurus_.7",NA,"2","100","0.94"
"Spinosaurus_.6",NA,"2","100","0.89"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.96"
"Spinosaurus_.2",NA,"2","100","0.93"
"Spinosaurus_.1",NA,"2","100","0.87"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.85"
"Baryonyx.2",NA,"2","100","0.94"
"Baryonyx.1",NA,"2","100","0.98"
"Suchomimus.3",NA,"0","0","0.39"
"Suchomimus.2",NA,"2","100","0.59"
"Suchomimus.1",NA,"0","0","0.37"
"Suchomimus",NA,"2","100","0.57"
"Baryonyx",NA,"2","100","0.97"
