"","actual class","predicted class","N","median P(diving)"
"Noemys_fodies","2","2","100","0.52"
"Euroscaptor_micrura","0","0","0","0.41"
"Lutra_vulgaris","2","2","100","0.88"
"Meles_meles","0","0","0","0.36"
"Maiacetus","2","2","100","0.98"
"Okapia_johnstoni","0","0","0","0.44"
"Chapsosaurus_","2","2","100","0.97"
"Nothosaurus_mirabilis","2","2","100","0.93"
"Nothosaurus_mirabilis_1","2","2","100","0.82"
"Nothosaurus_102","2","2","100","0.99"
"Cricosaurus","2","2","100","0.94"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","72","0.51"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.84"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"2","96","0.51"
"Baryonyx",NA,"2","100","0.96"
"Hesperornis","2","2","100","0.69"
