"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Uncia_uncia","Hayashi et al. (2015)","NSMM33876","CT scan",39,39,0,0,0.647,20.1,1.303196057,0,"0","none","0"
"Elomeryx_borbonicus_","Houssaye et al. (2021)","UCBL-FSL 8540","CT scan",29,31,28.4,15.97,0.589,26.3,1.419955748,0,"0","none","0"
"Microgale_thomasi","This study","UMMZ_172202","",39,39,0,0,0.574,1.52,0.181843588,0,"0","none","0"
"Alces_americanus","Houssaye et al. (2016)","","",39,39,0,0,0.6,45.1,1.654176542,0,"0","none","0"
"Vulpes_vulpes","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Felis_felis","Houssaye et al. (2016)","","",39,39,0,0,0.544,9.6,0.982271233,0,"0","none","0"
"Mus_musculus","Schucht et al. (2021)","LIMES Institute, University of Bonn","Thin section",39,39,0,0,0.481,2,0.301029996,0,"0","none","0"
"Lacerta_viridis","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.679,1.53,0.184691431,0,"0","none","0"
"Bos_taurus","Houssaye et al. (2016)","","",39,39,0,0,0.697,23.9,1.378397901,0,"0","none","0"
"Vulpes_vulpes.1","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Myrmecophaga_tridactyla","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Megaloceros_sp","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Caloenas_nicobarica","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Taxidea_taxus","This study","UMZC_K1706","",39,39,0,0,0.692,11.77,1.070776463,0,"0","none","0"
"Rangifer_tarandus","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Rhynchocyon_petersi","This study","NHMUK_2D_1886.9.21.1","",39,39,0,0,0.482,5.36,0.72916479,0,"0","none","0"
"Dromaius_","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Sus_scrofa","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Mustela_nivalis","This study","TIFFS0000.tifs","",39,39,0,0,0.632,1.53,0.184691431,0,"0","none","0"
"Tenrec_ecaudatus","This study","UMMZ_138441","",39,39,0,0,0.8,4.55,0.658011397,0,"0","none","0"
"Apteryx_owenii_","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Apteryx_australis","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Dromaius_.1","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Rattus_rattus","This study","","",39,39,0,0,0.572,2.69,0.42975228,0,"0","none","0"
"Elephas_maximus","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Megaloceros_sp.1","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Pogona_viceps","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.436,3.63,0.559906625,0,"0","none","0"
"Alces_americanus.1","Houssaye et al. (2016)","","",39,39,0,0,0.6,45.1,1.654176542,0,"0","none","0"
"Dasyurus_maculatus","This study","UMZC_A6","",39,39,0,0,0.731,6.42,0.807535028,0,"0","none","0"
"Strigiops_habroptilus","This study","NHMUK_1881.1.17.71","CT scan",39,39,0,0,0.421,6.82,0.833784375,0,"0","none","0"
"Elephas_maximus.1","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Apteryx_australis.1","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Dicerorhinus_sumatrensis","Houssaye et al. (2016)","","",39,39,0,0,0.766,61.2,1.786751422,0,"0","none","0"
