"","actual class","predicted class","N","median P(diving)"
"Loxodonta_africana","0","2","100","0.93"
"Callophoca_obscura","2","2","100","0.69"
"Nanophoca_vitulinoides","2","2","100","0.97"
"Phocanella_pumila","2","2","100","0.97"
"Paguma_larvata","0","0","0","0.42"
"Tapirus_terrestris","2","2","100","0.58"
"Capreolus_capreolus","0","0","0","0.1"
"Pistosaurus","2","2","100","0.96"
"Pogona_viceps","0","0","0","0.04"
"Metryorhynchus","2","2","100","0.9"
"Alligator","2","2","100","0.89"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"2","68","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"2","99","0.51"
"Baryonyx",NA,"2","100","0.95"
