"","actual class","predicted class","N","median P(diving)"
"Microgale_thomasi","0","0","0","0.21"
"Castor_fiber","2","2","100","0.72"
"Meles_meles","0","0","0","0.38"
"Taxidea_taxus","0","2","100","0.54"
"Callophoca_obscura","2","2","100","0.67"
"Nanophoca_vitulinoides","2","2","100","0.96"
"Dama_dama","0","0","0","0.25"
"Megaloceros_sp","0","0","0","0.2"
"Nothosaurus_102","2","2","100","0.99"
"Nothosaurus_150","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","36","0.49"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.92"
"Spinosaurus_.7",NA,"2","100","0.88"
"Spinosaurus_.6",NA,"2","100","0.81"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.87"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.75"
"Baryonyx.2",NA,"2","100","0.87"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"0","0","0.49"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","0","0.48"
"Baryonyx",NA,"2","100","0.93"
"Apteryx_owenii_","0","0","0","0.11"
"Aptenodytes______","2","2","100","0.89"
