"","actual class","predicted class","N","median P(diving)"
"Micropotamogale_euwenzorii","2","2","100","0.82"
"Microgale_thomasi","0","0","0","0.17"
"Castor_fiber","2","2","100","0.74"
"Lutra_vulgaris","2","2","100","0.87"
"Brachyodus_onoideum","0","2","100","0.78"
"Dama_dama","0","0","0","0.25"
"Chapsosaurus_","2","2","100","0.96"
"Placodontia_indet_1","2","2","100","0.97"
"Pistosaurus","2","2","100","0.95"
"Nothosaurus_150","2","2","100","0.99"
"Alligator","2","2","100","0.89"
"Spinosaurus_.11",NA,"0","1","0.48"
"Spinosaurus_.10",NA,"2","86","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.935"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.35"
"Suchomimus.2",NA,"2","100","0.53"
"Suchomimus.1",NA,"0","0","0.34"
"Suchomimus",NA,"2","100","0.52"
"Baryonyx",NA,"2","100","0.95"
"Dromaius_","0","0","0","0.06"
