"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.9"
"Rattus_rattus","0","0","0","0.17"
"Noemys_fodies","2","0","0","0.48"
"Nyctereutes_procyonoides","0","0","0","0.33"
"Tapirus_terrestris","2","2","100","0.59"
"Ceratotherium_simum","0","2","100","0.9"
"Giraffa_camelopardalis","0","0","0","0.32"
"Placondontia_indet","2","2","100","1"
"Nothosaurus_giganteus","2","2","100","0.63"
"Nothosaurus_102","2","2","100","0.99"
"Cricosaurus","2","2","100","0.94"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"2","59","0.51"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.84"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.81"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.53"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"2","100","0.51"
"Baryonyx",NA,"2","100","0.96"
"Apteryx_australis","0","0","0","0.17"
