"","actual class","predicted class","N","median P(diving)"
"Microgale_thomasi","0","0","0","0.16"
"Tamandua_tetradactyla","0","2","100","0.79"
"Nanophoca_vitulinoides","2","2","100","0.98"
"Indohyus","2","2","100","0.91"
"Remingtonocetus","2","2","100","0.79"
"Giraffa_camelopardalis","0","0","0","0.27"
"Simosaurus_1","2","2","100","0.74"
"Rhaeticosaurus","2","2","100","0.99"
"Nothosaurus_102","2","2","100","1"
"Lacerta_viridis","0","0","0","0.38"
"Protochampsidae","2","0","0","0.26"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.77"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.47"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.95"
