"","actual class","predicted class","N","median P(diving)"
"Rhynchocyon_petersi","0","0","0","0.1"
"Mustela_nivalis","0","0","0","0.29"
"Felis_felis","0","0","0","0.19"
"Indohyus","2","2","100","0.89"
"Maiacetus","2","2","100","0.98"
"Okapia_johnstoni","0","0","0","0.46"
"Giraffa_camelopardalis","0","0","0","0.33"
"Anarosaurus","2","2","100","0.98"
"Rhaeticosaurus","2","2","100","0.99"
"Nothosaurus_mirabilis","2","2","100","0.92"
"Cricosaurus","2","2","100","0.93"
"Metryorhynchus","2","2","100","0.89"
"Spinosaurus_.11",NA,"0","5","0.49"
"Spinosaurus_.10",NA,"2","97","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.35"
"Suchomimus.2",NA,"2","100","0.53"
"Suchomimus.1",NA,"0","0","0.34"
"Suchomimus",NA,"2","100","0.52"
"Baryonyx",NA,"2","100","0.945"
