"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Tamandua_tetradactyla","Houssaye et al. (2016)","","",39,39,0,0,0.791,10.2,1.008600172,0,"0","none","0"
"Myrmecophaga_tridactyla","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Uncia_uncia","Hayashi et al. (2015)","NSMM33876","CT scan",39,39,0,0,0.647,20.1,1.303196057,0,"0","none","0"
"Xenicus_giliventris","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Tribonyx_mortieri","This study","NHMUK_S1970.4.3_2","CT scan",39,39,0,0,0.514,8.15,0.911157609,0,"0","none","0"
"Raphus","Angst et al. (2017)","ddfem03","Thin section",39,39,0,0,0.559,17.2,1.235528447,0,"0","none","0"
"Sus_scrofa","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Tamandua_tetradactyla.1","Houssaye et al. (2016)","","",39,39,0,0,0.791,10.2,1.008600172,0,"0","none","0"
"Felis_felis","Houssaye et al. (2016)","","",39,39,0,0,0.544,9.6,0.982271233,0,"0","none","0"
"Sus_scrofa.1","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Sphenodon_punctatus","Schucht et al. (2021)","NHMW 8108:2","Thin section",39,39,0,0,0.778,3.86,0.586587305,0,"0","none","0"
"Loxodonta_africana","Houssaye et al. (2016)","","",39,39,0,0,0.855,165.5,2.218797998,0,"0","none","0"
"Tenrec_ecaudatus","This study","UMMZ_138441","",39,39,0,0,0.8,4.55,0.658011397,0,"0","none","0"
"Bison_bonasus","Houssaye et al. (2016)","","",39,39,0,0,0.545,63.6,1.803457116,0,"0","none","0"
"Apteryx_owenii_","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Dama_dama","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Dasyurus_maculatus","This study","UMZC_A6","",39,39,0,0,0.731,6.42,0.807535028,0,"0","none","0"
"Brachyodus_onoideum","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Apteryx_owenii_.1","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Mammuthus_sp","Houssaye et al. (2016)","","",35,39,7.246,0,0.773,172,2.235528447,0,"0","none","0"
"Elephas_maximus","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Giraffa_camelopardalis","Houssaye et al. (2016)","","",39,39,0,0,0.576,55.6,1.745074792,0,"0","none","0"
"Tribonyx_mortieri.1","This study","NHMUK_S1970.4.3_2","CT scan",39,39,0,0,0.514,8.15,0.911157609,0,"0","none","0"
"Alces_americanus","Houssaye et al. (2016)","","",39,39,0,0,0.6,45.1,1.654176542,0,"0","none","0"
"Taxidea_taxus","This study","UMZC_K1706","",39,39,0,0,0.692,11.77,1.070776463,0,"0","none","0"
"Apteryx_australis","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Caloenas_nicobarica","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Apteryx_owenii_.2","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Pogona_viceps","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.436,3.63,0.559906625,0,"0","none","0"
"Capreolus_capreolus","Houssaye et al. (2016)","","",39,39,0,0,0.479,14.3,1.155336037,0,"0","none","0"
"Lacerta_viridis","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.679,1.53,0.184691431,0,"0","none","0"
"Brachyodus_onoideum.1","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Okapia_johnstoni","Houssaye et al. (2016)","","",39,39,0,0,0.632,38.9,1.589949601,0,"0","none","0"
"Mustela_nivalis","This study","TIFFS0000.tifs","",39,39,0,0,0.632,1.53,0.184691431,0,"0","none","0"
"Apteryx_owenii_.3","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Elomeryx_borbonicus_","Houssaye et al. (2021)","UCBL-FSL 8540","CT scan",29,31,28.4,15.97,0.589,26.3,1.419955748,0,"0","none","0"
"Dicerorhinus_sumatrensis","Houssaye et al. (2016)","","",39,39,0,0,0.766,61.2,1.786751422,0,"0","none","0"
"Monodelphis_domestica","This study","UMMZ_165514","",39,39,0,0,0.77,2.33,0.367355921,0,"0","none","0"
"Uncia_uncia.1","Hayashi et al. (2015)","NSMM33876","CT scan",39,39,0,0,0.647,20.1,1.303196057,0,"0","none","0"
"Nyctereutes_procyonoides","Hayashi et al. (2015)","NSMM37331","CT scan",39,39,0,0,0.631,8.1,0.908485019,0,"0","none","0"
"Myrmecophaga_tridactyla.1","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Tenrec_ecaudatus.1","This study","UMMZ_138441","",39,39,0,0,0.8,4.55,0.658011397,0,"0","none","0"
"Rupicapra_rupicapra","Houssaye et al. (2016)","","",39,39,0,0,0.451,16.1,1.206825876,0,"0","none","0"
"Rynochetus_jubatus","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Rhynchocyon_petersi","This study","NHMUK_2D_1886.9.21.1","",39,39,0,0,0.482,5.36,0.72916479,0,"0","none","0"
"Rattus_rattus","This study","","",39,39,0,0,0.572,2.69,0.42975228,0,"0","none","0"
"Cephalophus_silvicultor","Houssaye et al. (2016)","","",39,39,0,0,0.641,22.3,1.348304863,0,"0","none","0"
"Tamandua_tetradactyla.2","Houssaye et al. (2016)","","",39,39,0,0,0.791,10.2,1.008600172,0,"0","none","0"
"Rangifer_tarandus","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Mustela_nivalis.1","This study","TIFFS0000.tifs","",39,39,0,0,0.632,1.53,0.184691431,0,"0","none","0"
"Sus_scrofa.2","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Taxidea_taxus.1","This study","UMZC_K1706","",39,39,0,0,0.692,11.77,1.070776463,0,"0","none","0"
"Myrmecophaga_tridactyla.2","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Dama_dama.1","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Lama_guanicoe","Houssaye et al. (2016)","","",39,39,0,0,0.463,30.3,1.481442629,0,"0","none","0"
"Dasyurus_maculatus.1","This study","UMZC_A6","",39,39,0,0,0.731,6.42,0.807535028,0,"0","none","0"
"Bos_taurus","Houssaye et al. (2016)","","",39,39,0,0,0.697,23.9,1.378397901,0,"0","none","0"
"Mammuthus_sp.1","Houssaye et al. (2016)","","",35,39,7.246,0,0.773,172,2.235528447,0,"0","none","0"
"Nothosaurus_102","Klein (2010)","Wijk-06-102","Thin section",2,2,242,237,0.955,5.168,0.713322505,0,"2","diving","2"
"Serpianosaurus","Hugi et al. (2011)","T105","Thin section",1,1,247.2,242,0.989,4.8,0.681241237,0,"2","diving","2"
"Hexaprotodon_garyam","Houssaye et al. (2021)","TM 115–06-01","CT scan",35,35,7.246,5.33,0.726,69.4,1.84135947,0,"2","diving","2"
"Simosaurus","Klein & Griebeler (2016)","SMNS 91983","Thin section",1,2,247.2,237,0.865,22.97,1.361160995,0,"2","diving","2"
"Rodhocetus","Houssaye et al. (2015)","GSP-UM 3012","CT scan",26,27,47.8,37.8,0.893,26.863,1.429154512,0,"2","diving","2"
"Micropotamogale_euwenzorii","This study","Image stack","",39,39,0,0,0.844,2.31,0.36361198,0,"2","diving","2"
"Palaeospheniscus","Ksepka et al. (2015)","AMNH 3349","Thin section",30,32,23.03,13.82,0.792,8.52,0.930439595,0,"2","diving","2"
"Nothosaurus_150","Klein (2010)","Wijk-08-150","Thin section",2,2,242,237,0.938,8.125,0.90982337,0,"2","diving","2"
"Callophoca_obscura","Dewaele et al. (2019)","Histos 170","Thin section",36,36,5.3,3.6,0.733,25.86,1.412628521,0,"2","diving","2"
"Hydromys_chrysogaster","This study","NHMUK_ZD_1998_134","",39,39,0,0,0.689,5.42,0.733999287,0,"2","diving","2"
"Rhaeticosaurus","Wintrich et al. (2017)","LWL-MFN P 64047","Thin section",5,5,208.5,201.3,0.936,36,1.556302501,0,"2","diving","2"
"Ornithorhynchus_anatinus","This study","UMCZ","",39,39,0,0,0.871,5.21,0.716837723,0,"2","diving","2"
"Rodhocetus.1","Houssaye et al. (2015)","GSP-UM 3012","CT scan",26,27,47.8,37.8,0.893,26.863,1.429154512,0,"2","diving","2"
"Palaeospheniscus.1","Ksepka et al. (2015)","AMNH 3349","Thin section",30,32,23.03,13.82,0.792,8.52,0.930439595,0,"2","diving","2"
"large_eocene_stem_penguin","Ksepka et al. (2015)","USNM 402616","Thin section",28,28,36.1,34.7,0.988,16.744,1.223859215,0,"2","diving","2"
"Callophoca_obscura.1","Dewaele et al. (2019)","Histos 170","Thin section",36,36,5.3,3.6,0.733,25.86,1.412628521,0,"2","diving","2"
"Placodontia_indet_1","Klein et al. (2015)","MB.R. 961","Thin section",1,1,247.2,242,0.859,20.97,1.32159843,0,"2","diving","2"
