"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.55"
"Tamandua_tetradactyla","0","2","100","0.79"
"Castor_fiber","2","2","100","0.73"
"Taxidea_taxus","0","2","100","0.54"
"Leptophoca_proxima","2","2","100","0.67"
"Felis_felis","0","0","0","0.18"
"Choeropsis_liberiensis","2","2","100","0.76"
"Psephoderma","2","2","100","0.91"
"Placondontia_indet","2","2","100","1"
"Lacerta_viridis","0","0","0","0.42"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","21","0.49"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.89"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.3"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.29"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.94"
"Xenicus_giliventris","0","0","0","0.02"
"Spheniscus","2","2","100","0.9"
