"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.91"
"Mustela_nivalis","0","0","0","0.27"
"Callophoca_obscura","2","2","100","0.69"
"Okapia_johnstoni","0","0","0","0.44"
"Giraffa_camelopardalis","0","0","0","0.3"
"Psephoderma","2","2","100","0.92"
"Paraplacodus","2","2","100","0.99"
"Serpianosaurus","2","2","100","1"
"Plesiosaurus","2","2","100","0.98"
"Dyrosaurid","2","0","0","0.28"
"Caiman_yacare","2","2","100","0.94"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"2","64","0.51"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"2","100","0.51"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","5","0.5"
"Baryonyx",NA,"2","100","0.95"
"Rynochetus_jubatus","0","0","0","0.03"
