"","actual class","predicted class","N","median P(diving)"
"Euroscaptor_micrura","0","0","0","0.46"
"Meles_meles","0","0","0","0.36"
"Procyon_lotor","0","0","0","0.45"
"Tapirus_terrestris","2","2","100","0.56"
"Remingtonocetus","2","2","100","0.78"
"Rodhocetus","2","2","100","0.94"
"Bos_taurus","0","2","100","0.61"
"Neusticosaurus","2","2","100","1"
"Nothosaurus_mirabilis","2","2","100","0.92"
"Nothosaurus_mirabilis_1","2","2","100","0.78"
"Nothosaurus_568","2","2","100","0.98"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.89"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.75"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.46"
"Suchomimus.1",NA,"0","0","0.28"
"Suchomimus",NA,"0","0","0.45"
"Baryonyx",NA,"2","100","0.94"
"Hesperornis","2","2","100","0.67"
