"","actual class","predicted class","N","median P(diving)"
"Microgale_thomasi","0","0","0","0.16"
"Vulpes_vulpes","0","0","0","0.17"
"Ceratotherium_simum","0","2","100","0.89"
"Dicerorhinus_sumatrensis","0","2","100","0.8"
"Indohyus","2","2","100","0.89"
"Remingtonocetus","2","2","100","0.79"
"Rodhocetus","2","2","100","0.94"
"Cephalophus_silvicultor","0","0","0","0.46"
"Bos_taurus","0","2","100","0.62"
"Spinosaurus_.11",NA,"0","23","0.49"
"Spinosaurus_.10",NA,"2","100","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.37"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.36"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.95"
"Dromaius_","0","0","0","0.06"
"large_eocene_stem_penguin","2","2","100","0.98"
"Aptenodytes______","2","2","100","0.89"
