"","actual class","predicted class","N","median P(diving)"
"Rattus_rattus","0","0","0","0.19"
"Noemys_fodies","2","0","0","0.47"
"Hemiechinus_azurites","0","2","100","0.62"
"Nanophoca_vitulinoides","2","2","100","0.97"
"Rhinoceros_sondaicus","0","2","100","0.72"
"Rodhocetus","2","2","100","0.94"
"Megaloceros_sp","0","0","0","0.22"
"Nothosaurus_568","2","2","100","0.97"
"Alligator","2","2","100","0.88"
"Caiman_yacare","2","2","100","0.91"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","81","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.37"
"Suchomimus.2",NA,"2","100","0.54"
"Suchomimus.1",NA,"0","0","0.35"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.95"
"Dromaius_","0","0","0","0.07"
"Caloenas_nicobarica","0","0","0","0.03"
