"","actual class","predicted class","N","median P(diving)"
"Dasyurus_maculatus","0","2","100","0.63"
"Loxodonta_africana","0","2","100","0.95"
"Mammuthus_sp","0","2","100","0.87"
"Microgale_thomasi","0","0","0","0.15"
"Hemiechinus_azurites","0","2","100","0.64"
"Euroscaptor_micrura","0","0","0","0.39"
"Lutra_vulgaris","2","2","100","0.88"
"Procyon_lotor","0","0","0","0.46"
"Giraffa_camelopardalis","0","0","0","0.34"
"Bos_taurus","0","2","100","0.63"
"Megaloceros_sp","0","0","0","0.2"
"Pistosaurus","2","2","100","0.96"
"Spinosaurus_.11",NA,"2","79","0.51"
"Spinosaurus_.10",NA,"2","100","0.55"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.96"
"Spinosaurus_.7",NA,"2","100","0.93"
"Spinosaurus_.6",NA,"2","100","0.88"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.95"
"Spinosaurus_.2",NA,"2","100","0.92"
"Spinosaurus_.1",NA,"2","100","0.855"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.83"
"Baryonyx.2",NA,"2","100","0.92"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.38"
"Suchomimus.2",NA,"2","100","0.57"
"Suchomimus.1",NA,"0","0","0.36"
"Suchomimus",NA,"2","100","0.55"
"Baryonyx",NA,"2","100","0.96"
