"","actual class","predicted class","N","median P(diving)"
"Desmostylus_hesperus","2","0","0","0.32"
"Leptophoca_proxima","2","2","100","0.66"
"Uncia_uncia","0","0","0","0.43"
"Basilosaurus","2","2","100","0.95"
"Elomeryx_borbonicus_","0","0","0","0.28"
"Rupicapra_rupicapra","0","0","0","0.08"
"Chapsosaurus_","2","2","100","0.96"
"Serpianosaurus","2","2","100","1"
"Caiman_yacare","2","2","100","0.92"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.47"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.88"
"Spinosaurus_.6",NA,"2","100","0.81"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.79"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.74"
"Baryonyx.2",NA,"2","100","0.87"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.29"
"Suchomimus.2",NA,"0","0","0.46"
"Suchomimus.1",NA,"0","0","0.28"
"Suchomimus",NA,"0","0","0.45"
"Baryonyx",NA,"2","100","0.93"
"Caloenas_nicobarica","0","0","0","0.03"
"Palaeospheniscus","2","2","100","0.78"
