"","actual class","predicted class","N","median P(diving)"
"Chironectes_minimus","2","2","100","0.82"
"Tenrec_ecaudatus","0","2","100","0.73"
"Hydromys_chrysogaster","2","0","0","0.48"
"Noemys_fodies","2","0","0","0.44"
"Lutra_vulgaris","2","2","100","0.85"
"Meles_meles","0","0","0","0.37"
"Procyon_lotor","0","0","0","0.45"
"Uncia_uncia","0","0","0","0.46"
"Rhinoceros_sondaicus","0","2","100","0.73"
"Bos_taurus","0","2","100","0.62"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","66","0.51"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.38"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.36"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.94"
"Raphus","0","0","0","0.26"
"Tribonyx_mortieri","0","0","0","0.15"
