"","actual class","predicted class","N","median P(diving)"
"Tenrec_ecaudatus","0","2","100","0.77"
"Uncia_uncia","0","0","0","0.43"
"Brachyodus_onoideum","0","2","100","0.77"
"Rupicapra_rupicapra","0","0","0","0.07"
"Dama_dama","0","0","0","0.21"
"Megaloceros_sp","0","0","0","0.17"
"Nothosaurus_giganteus","2","2","100","0.58"
"Nothosaurus_mirabilis","2","2","100","0.91"
"Spinosaurus_.11",NA,"0","0","0.45"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.77"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.3"
"Suchomimus.2",NA,"0","0","0.49"
"Suchomimus.1",NA,"0","0","0.29"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.95"
"Apteryx_owenii_","0","0","0","0.07"
"Strigiops_habroptilus","0","0","0","0.04"
"Spheniscus","2","2","100","0.89"
