"","actual class","predicted class","N","median P(diving)"
"Rhynchocyon_petersi","0","0","0","0.06"
"Tamandua_tetradactyla","0","2","100","0.79"
"Diplomesodon_pulchellum","0","2","100","0.62"
"Desmana_moschata","2","2","100","0.92"
"Meles_meles","0","0","0","0.33"
"Callophoca_obscura","2","2","100","0.68"
"Maiacetus","2","2","100","0.99"
"Alces_americanus","0","0","0","0.33"
"Dama_dama","0","0","0","0.19"
"Protochampsidae","2","0","0","0.23"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.47"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.95"
"Phalacrocorax_harrisi","2","0","0","0.3"
"large_eocene_stem_penguin","2","2","100","0.98"
