"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.55"
"Nyctereutes_procyonoides","0","0","0","0.37"
"Paguma_larvata","0","0","0","0.44"
"Tapirus_terrestris","2","2","100","0.58"
"Elomeryx_borbonicus_","0","0","0","0.3"
"Dama_dama","0","0","0","0.24"
"Placondontia_indet","2","2","100","1"
"Pistosaurus","2","2","100","0.95"
"Cryptoclidus","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","77","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","100","0.51"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","23","0.5"
"Baryonyx",NA,"2","100","0.94"
"Apteryx_australis","0","0","0","0.19"
"Strigiops_habroptilus","0","0","0","0.05"
"large_eocene_stem_penguin","2","2","100","0.98"
