"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.51"
"Noemys_fodies","2","0","50","0.5"
"Basilosaurus","2","2","100","0.95"
"Hexaprotodon_garyam","2","2","100","0.69"
"Hippopotamus_amphibius","2","2","100","0.87"
"Bison_bonasus","0","0","0","0.25"
"Nothosaurus_mirabilis_1","2","2","100","0.74"
"Dyrosaurid","2","0","0","0.26"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.47"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.89"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.75"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.3"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.29"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.94"
"Hesperornis","2","2","100","0.65"
"Apteryx_australis","0","0","0","0.18"
"Dromaius_","0","0","0","0.05"
"Atlantisia_rogersi","0","0","0","0.06"
