"","actual class","predicted class","N","median P(diving)"
"Mammuthus_sp","0","2","100","0.87"
"Hydromys_chrysogaster","2","0","0","0.49"
"Procyon_lotor","0","0","0","0.45"
"Leptophoca_proxima","2","2","100","0.7"
"Maiacetus","2","2","100","0.98"
"Brachyodus_onoideum","0","2","100","0.8"
"Placondontia_indet","2","2","100","1"
"Anarosaurus","2","2","100","0.98"
"Pogona_viceps","0","0","0","0.05"
"Spinosaurus_.11",NA,"0","32","0.49"
"Spinosaurus_.10",NA,"2","100","0.53"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.81"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.39"
"Suchomimus.2",NA,"2","100","0.57"
"Suchomimus.1",NA,"0","0","0.37"
"Suchomimus",NA,"2","100","0.55"
"Baryonyx",NA,"2","100","0.95"
"Tribonyx_mortieri","0","0","0","0.14"
"Rynochetus_jubatus","0","0","0","0.04"
