"","actual class","predicted class","N","median P(diving)"
"Myrmecophaga_tridactyla","0","2","100","0.78"
"Mus_musculus","0","0","0","0.07"
"Castor_fiber","2","2","100","0.75"
"Dicerorhinus_sumatrensis","0","2","100","0.81"
"Remingtonocetus","2","2","100","0.8"
"Brachyodus_onoideum","0","2","100","0.8"
"Hexaprotodon_garyam","2","2","100","0.74"
"Rangifer_tarandus","0","0","0","0.09"
"Megaloceros_sp","0","0","0","0.19"
"Simosaurus","2","2","100","0.97"
"Plesiosaurus","2","2","100","0.98"
"Nothosaurus_150","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","7","0.49"
"Spinosaurus_.10",NA,"2","97","0.525"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.84"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.81"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.35"
"Suchomimus.2",NA,"2","100","0.54"
"Suchomimus.1",NA,"0","0","0.34"
"Suchomimus",NA,"2","100","0.52"
"Baryonyx",NA,"2","100","0.96"
