"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Nyctereutes_procyonoides","Hayashi et al. (2015)","NSMM37331","CT scan",39,39,0,0,0.631,8.1,0.908485019,0,"0","none","0"
"Diplomesodon_pulchellum","This study","FMNH137436","",39,39,0,0,0.761,0.921,-0.03574037,0,"0","none","0"
"Megaloceros_sp","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Rangifer_tarandus","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Hemiechinus_azurites","This study","156626","",39,39,0,0,0.75,3.87,0.587710965,0,"0","none","0"
"Hemiechinus_azurites.1","This study","156626","",39,39,0,0,0.75,3.87,0.587710965,0,"0","none","0"
"Procavia_capensis","This study","","",39,39,0,0,0.7,7.14,0.853698212,0,"0","none","0"
"Ceratotherium_simum","Houssaye et al. (2016)","","",39,39,0,0,0.82,92.6,1.966610987,0,"0","none","0"
"Rangifer_tarandus.1","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Bison_bonasus","Houssaye et al. (2016)","","",39,39,0,0,0.545,63.6,1.803457116,0,"0","none","0"
"Myrmecophaga_tridactyla","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Elomeryx_borbonicus_","Houssaye et al. (2021)","UCBL-FSL 8540","CT scan",29,31,28.4,15.97,0.589,26.3,1.419955748,0,"0","none","0"
"Apteryx_owenii_","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Porphyrio_hochstetteri","This study","NMHUK_S_1961.17.1","CT scan",39,39,0,0,0.489,9.99,0.999565488,0,"0","none","0"
"Loxodonta_africana","Houssaye et al. (2016)","","",39,39,0,0,0.855,165.5,2.218797998,0,"0","none","0"
"Caloenas_nicobarica","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Dama_dama","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Sphenodon_punctatus","Schucht et al. (2021)","NHMW 8108:2","Thin section",39,39,0,0,0.778,3.86,0.586587305,0,"0","none","0"
"Ceratotherium_simum.1","Houssaye et al. (2016)","","",39,39,0,0,0.82,92.6,1.966610987,0,"0","none","0"
"Elomeryx_borbonicus_.1","Houssaye et al. (2021)","UCBL-FSL 8540","CT scan",29,31,28.4,15.97,0.589,26.3,1.419955748,0,"0","none","0"
"Procyon_lotor","Hayashi et al. (2015)","NSMM34935","CT scan",39,39,0,0,0.66,12.7,1.103803721,0,"0","none","0"
"Okapia_johnstoni","Houssaye et al. (2016)","","",39,39,0,0,0.632,38.9,1.589949601,0,"0","none","0"
"Brachyodus_onoideum","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Euroscaptor_micrura","This study","NHMUK_99_10_25.1","",39,39,0,0,0.689,1.35,0.130333768,0,"0","none","0"
"Taxidea_taxus","This study","UMZC_K1706","",39,39,0,0,0.692,11.77,1.070776463,0,"0","none","0"
"Felis_felis","Houssaye et al. (2016)","","",39,39,0,0,0.544,9.6,0.982271233,0,"0","none","0"
"Caloenas_nicobarica.1","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Porphyrio_hochstetteri.1","This study","NMHUK_S_1961.17.1","CT scan",39,39,0,0,0.489,9.99,0.999565488,0,"0","none","0"
"Rattus_rattus","This study","","",39,39,0,0,0.572,2.69,0.42975228,0,"0","none","0"
"Tribonyx_mortieri","This study","NHMUK_S1970.4.3_2","CT scan",39,39,0,0,0.514,8.15,0.911157609,0,"0","none","0"
"Megaloceros_sp.1","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Xenicus_giliventris","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Raphus","Angst et al. (2017)","ddfem03","Thin section",39,39,0,0,0.559,17.2,1.235528447,0,"0","none","0"
"Mustela_nivalis","This study","TIFFS0000.tifs","",39,39,0,0,0.632,1.53,0.184691431,0,"0","none","0"
"Mus_musculus","Schucht et al. (2021)","LIMES Institute, University of Bonn","Thin section",39,39,0,0,0.481,2,0.301029996,0,"0","none","0"
"Strigiops_habroptilus","This study","NHMUK_1881.1.17.71","CT scan",39,39,0,0,0.421,6.82,0.833784375,0,"0","none","0"
"Elephas_maximus","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Lacerta_viridis","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.679,1.53,0.184691431,0,"0","none","0"
"Myrmecophaga_tridactyla.1","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Rynochetus_jubatus","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Elephas_maximus.1","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Elephas_maximus.2","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Dicerorhinus_sumatrensis","Houssaye et al. (2016)","","",39,39,0,0,0.766,61.2,1.786751422,0,"0","none","0"
"Hemiechinus_azurites.2","This study","156626","",39,39,0,0,0.75,3.87,0.587710965,0,"0","none","0"
"Atlantisia_rogersi","This study","NHMUK_1924.1.2.2","CT scan",39,39,0,0,0.464,1.99,0.298853076,0,"0","none","0"
"Rynochetus_jubatus.1","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Monodelphis_domestica","This study","UMMZ_165514","",39,39,0,0,0.77,2.33,0.367355921,0,"0","none","0"
"Rynochetus_jubatus.2","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Euroscaptor_micrura.1","This study","NHMUK_99_10_25.1","",39,39,0,0,0.689,1.35,0.130333768,0,"0","none","0"
"Ceratotherium_simum.2","Houssaye et al. (2016)","","",39,39,0,0,0.82,92.6,1.966610987,0,"0","none","0"
"Apteryx_australis","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Mus_musculus.1","Schucht et al. (2021)","LIMES Institute, University of Bonn","Thin section",39,39,0,0,0.481,2,0.301029996,0,"0","none","0"
"Nyctereutes_procyonoides.1","Hayashi et al. (2015)","NSMM37331","CT scan",39,39,0,0,0.631,8.1,0.908485019,0,"0","none","0"
"Xenicus_giliventris.1","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
