"","actual class","predicted class","N","median P(diving)"
"Hydromys_chrysogaster","2","2","100","0.51"
"Noemys_fodies","2","2","100","0.52"
"Desmana_moschata","2","2","100","0.91"
"Euroscaptor_micrura","0","0","0","0.42"
"Procyon_lotor","0","0","0","0.44"
"Lama_guanicoe","0","0","0","0.09"
"Rupicapra_rupicapra","0","0","0","0.07"
"Ichtyosaurus_","2","0","0","0.37"
"Placondontia_indet","2","2","100","1"
"Simosaurus","2","2","100","0.97"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.3"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.29"
"Suchomimus",NA,"0","0","0.465"
"Baryonyx",NA,"2","100","0.94"
"Aptenodytes______","2","2","100","0.9"
