"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.7"
"Castor_fiber","2","2","100","0.73"
"Mustela_nivalis","0","0","0","0.29"
"Uncia_uncia","0","0","0","0.43"
"Sus_scrofa","0","0","0","0.2"
"Remingtonocetus","2","2","100","0.78"
"Elomeryx_borbonicus_","0","0","0","0.28"
"Alces_americanus","0","0","0","0.35"
"Placodontia_indet_1","2","2","100","0.96"
"Dyrosaurid","2","0","0","0.27"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.29"
"Suchomimus.2",NA,"0","0","0.47"
"Suchomimus.1",NA,"0","0","0.28"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.94"
"Phalacrocorax_harrisi","2","0","0","0.34"
"Spheniscus","2","2","100","0.89"
