"","actual class","predicted class","N","median P(diving)"
"Loxodonta_africana","0","2","100","0.95"
"Meles_meles","0","0","0","0.35"
"Otaria_byronia","2","2","100","0.88"
"Maiacetus","2","2","100","0.99"
"Brachyodus_onoideum","0","2","100","0.81"
"Hexaprotodon_garyam","2","2","100","0.75"
"Syncerus_caffer","0","2","100","0.76"
"Ichtyosaurus_","2","0","0","0.44"
"Plesiosaurus","2","2","100","0.99"
"Nothosaurus_102","2","2","100","1"
"Spinosaurus_.11",NA,"0","31","0.49"
"Spinosaurus_.10",NA,"2","100","0.53"
"Spinosaurus_.9",NA,"2","100","0.98"
"Spinosaurus_.8",NA,"2","100","0.97"
"Spinosaurus_.7",NA,"2","100","0.94"
"Spinosaurus_.6",NA,"2","100","0.88"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.96"
"Spinosaurus_.2",NA,"2","100","0.93"
"Spinosaurus_.1",NA,"2","100","0.865"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.84"
"Baryonyx.2",NA,"2","100","0.93"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.97"
"Tribonyx_mortieri","0","0","0","0.1"
"Palaeospheniscus","2","2","100","0.8"
