"","actual class","predicted class","N","median P(diving)"
"Rhynchocyon_petersi","0","0","0","0.09"
"Otaria_byronia","2","2","100","0.85"
"Paguma_larvata","0","0","0","0.41"
"Rhinoceros_sondaicus","0","2","100","0.72"
"Brachyodus_onoideum","0","2","100","0.79"
"Bison_bonasus","0","0","0","0.28"
"Cricosaurus","2","2","100","0.92"
"Alligator","2","2","100","0.88"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","91","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.37"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.35"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.95"
"Strigiops_habroptilus","0","0","0","0.05"
"Xenicus_giliventris","0","0","0","0.02"
"Spheniscus","2","2","100","0.88"
