"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.91"
"Nanophoca_vitulinoides","2","2","100","0.97"
"Rhinoceros_sondaicus","0","2","100","0.7"
"Remingtonocetus","2","2","100","0.79"
"Hexaprotodon_garyam","2","2","100","0.71"
"Neusticosaurus","2","2","100","1"
"Plesiosaurus","2","2","100","0.97"
"Nothosaurus_102","2","2","100","0.99"
"Lacerta_viridis","0","0","0","0.44"
"Metryorhynchus","2","2","100","0.9"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","82","0.52"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.77"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","98","0.51"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","13","0.5"
"Baryonyx",NA,"2","100","0.94"
"Raphus","0","0","0","0.26"
"Atlantisia_rogersi","0","0","0","0.08"
