"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.91"
"Dasyurus_maculatus","0","2","100","0.63"
"Microgale_thomasi","0","0","0","0.16"
"Hemiechinus_azurites","0","2","100","0.66"
"Vulpes_vulpes","0","0","0","0.12"
"Champsosaurus","2","2","100","0.97"
"Nothosaurus_giganteus","2","2","100","0.54"
"Sphenodon_punctatus","0","2","100","0.68"
"Pogona_viceps","0","0","0","0.03"
"Protochampsidae","2","0","0","0.22"
"Spinosaurus_.11",NA,"0","0","0.41"
"Spinosaurus_.10",NA,"0","0","0.45"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.74"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.24"
"Suchomimus.2",NA,"0","0","0.42"
"Suchomimus.1",NA,"0","0","0.23"
"Suchomimus",NA,"0","0","0.41"
"Baryonyx",NA,"2","100","0.94"
"Caloenas_nicobarica","0","0","0","0.01"
"Aptenodytes______","2","2","100","0.9"
