"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Nyctereutes_procyonoides","Hayashi et al. (2015)","NSMM37331","CT scan",39,39,0,0,0.631,8.1,0.908485019,0,"0","none","0"
"Strigiops_habroptilus","This study","NHMUK_1881.1.17.71","CT scan",39,39,0,0,0.421,6.82,0.833784375,0,"0","none","0"
"Felis_felis","Houssaye et al. (2016)","","",39,39,0,0,0.544,9.6,0.982271233,0,"0","none","0"
"Xenicus_giliventris","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Mustela_nivalis","This study","TIFFS0000.tifs","",39,39,0,0,0.632,1.53,0.184691431,0,"0","none","0"
"Dromaius_","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Bos_taurus","Houssaye et al. (2016)","","",39,39,0,0,0.697,23.9,1.378397901,0,"0","none","0"
"Meles_meles","Houssaye et al. (2016)","","",39,39,0,0,0.631,11.5,1.06069784,0,"0","none","0"
"Lacerta_viridis","Schucht et al. (2021)","uncat.","Thin section",39,39,0,0,0.679,1.53,0.184691431,0,"0","none","0"
"Alces_americanus","Houssaye et al. (2016)","","",39,39,0,0,0.6,45.1,1.654176542,0,"0","none","0"
"Apteryx_australis","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Mus_musculus","Schucht et al. (2021)","LIMES Institute, University of Bonn","Thin section",39,39,0,0,0.481,2,0.301029996,0,"0","none","0"
"Brachyodus_onoideum","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Vulpes_vulpes","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Apteryx_australis.1","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,0,"0","none","0"
"Ceratotherium_simum","Houssaye et al. (2016)","","",39,39,0,0,0.82,92.6,1.966610987,0,"0","none","0"
"Monodelphis_domestica","This study","UMMZ_165514","",39,39,0,0,0.77,2.33,0.367355921,0,"0","none","0"
"Rangifer_tarandus","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Lama_guanicoe","Houssaye et al. (2016)","","",39,39,0,0,0.463,30.3,1.481442629,0,"0","none","0"
