"","actual class","predicted class","N","median P(diving)"
"Elephas_maximus","0","2","100","0.85"
"Micropotamogale_euwenzorii","2","2","100","0.8"
"Otaria_byronia","2","2","100","0.85"
"Vulpes_vulpes","0","0","0","0.16"
"Paguma_larvata","0","0","0","0.41"
"Tapirus_terrestris","2","2","100","0.6"
"Ceratotherium_simum","0","2","100","0.9"
"Dicerorhinus_sumatrensis","0","2","100","0.81"
"Choeropsis_liberiensis","2","2","100","0.78"
"Okapia_johnstoni","0","0","0","0.47"
"Sphenodon_punctatus","0","2","100","0.63"
"Spinosaurus_.11",NA,"0","5","0.49"
"Spinosaurus_.10",NA,"2","87","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.81"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.37"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.36"
"Suchomimus",NA,"2","100","0.54"
"Baryonyx",NA,"2","100","0.95"
"Xenicus_giliventris","0","0","0","0.01"
