"","actual class","predicted class","N","median P(diving)"
"Microgale_thomasi","0","0","0","0.18"
"Mus_musculus","0","0","0","0.08"
"Mustela_nivalis","0","0","0","0.28"
"Callophoca_obscura","2","2","100","0.67"
"Rhinoceros_sondaicus","0","2","100","0.69"
"Elomeryx_borbonicus_","0","0","0","0.29"
"Bos_taurus","0","2","100","0.6"
"Rangifer_tarandus","0","0","0","0.1"
"Simosaurus_1","2","2","100","0.69"
"Cryptoclidus","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","0","0.45"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.89"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.31"
"Suchomimus.2",NA,"0","0","0.49"
"Suchomimus.1",NA,"0","0","0.3"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.94"
"Porphyrio_hochstetteri","0","0","0","0.11"
"Tribonyx_mortieri","0","0","0","0.14"
