"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.68"
"Micropotamogale_euwenzorii","2","2","100","0.81"
"Castor_fiber","2","2","100","0.71"
"Noemys_fodies","2","2","100","0.53"
"Lutra_vulgaris","2","2","100","0.84"
"Sus_scrofa","0","0","0","0.25"
"Indohyus","2","2","100","0.87"
"Dama_dama","0","0","0","0.27"
"Ichtyosaur_sp","2","2","100","0.82"
"Sphenodon_punctatus","0","2","100","0.66"
"Lacerta_viridis","0","0","0","0.41"
"Spinosaurus_.11",NA,"0","0","0.455"
"Spinosaurus_.10",NA,"0","0","0.485"
"Spinosaurus_.9",NA,"2","100","0.93"
"Spinosaurus_.8",NA,"2","100","0.91"
"Spinosaurus_.7",NA,"2","100","0.87"
"Spinosaurus_.6",NA,"2","100","0.79"
"Spinosaurus_.5",NA,"2","100","0.96"
"Spinosaurus_.4",NA,"2","100","0.93"
"Spinosaurus_.3",NA,"2","100","0.9"
"Spinosaurus_.2",NA,"2","100","0.86"
"Spinosaurus_.1",NA,"2","100","0.78"
"Spinosaurus_",NA,"2","100","0.96"
"Baryonyx.3",NA,"2","100","0.73"
"Baryonyx.2",NA,"2","100","0.85"
"Baryonyx.1",NA,"2","100","0.93"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"0","0","0.49"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","0","0.48"
"Baryonyx",NA,"2","100","0.92"
"Porphyrio_hochstetteri","0","0","0","0.15"
