"","actual class","predicted class","N","median P(diving)"
"Chironectes_minimus","2","2","100","0.87"
"Tenrec_ecaudatus","0","2","100","0.79"
"Myrmecophaga_tridactyla","0","2","100","0.76"
"Nyctereutes_procyonoides","0","0","0","0.35"
"Hippopotamus_amphibius","2","2","100","0.88"
"Simosaurus_1","2","2","100","0.75"
"Rhaeticosaurus","2","2","100","0.99"
"Nothosaurus_568","2","2","100","0.98"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","50","0.5"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"0","49","0.5"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","0","0.49"
"Baryonyx",NA,"2","100","0.95"
"Tribonyx_mortieri","0","0","0","0.14"
"Strigiops_habroptilus","0","0","0","0.05"
"Small_Eocene_penguin","2","2","100","0.96"
