"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.53"
"Desmostylus_hesperus","2","0","0","0.3"
"Rhynchocyon_petersi","0","0","0","0.07"
"Tamandua_tetradactyla","0","2","100","0.79"
"Hydromys_chrysogaster","2","0","33","0.5"
"Giraffa_camelopardalis","0","0","0","0.28"
"Alces_americanus","0","0","0","0.34"
"Placondontia_indet","2","2","100","1"
"Placodontia_indet_1","2","2","100","0.97"
"Metryorhynchus","2","2","100","0.9"
"Dyrosaurid","2","0","0","0.25"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.47"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.29"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.28"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.95"
"Rynochetus_jubatus","0","0","0","0.03"
