"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.91"
"Callophoca_obscura","2","2","100","0.68"
"Felis_felis","0","0","0","0.17"
"Okapia_johnstoni","0","0","0","0.43"
"Paraplacodus","2","2","100","0.99"
"Simosaurus_1","2","2","100","0.76"
"Nothosaurus_mirabilis","2","2","100","0.93"
"Lacerta_viridis","0","0","0","0.42"
"Metryorhynchus","2","2","100","0.9"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","28","0.49"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.3"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.29"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.94"
"Small_Eocene_penguin","2","2","100","0.96"
"large_eocene_stem_penguin","2","2","100","0.98"
