"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Xenicus_giliventris","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Paguma_larvata","Hayashi et al. (2015)","NSMM36806","CT scan",39,39,0,0,0.656,9.3,0.968482949,0,"0","none","0"
"Dama_dama","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Hemiechinus_azurites","This study","156626","",39,39,0,0,0.75,3.87,0.587710965,0,"0","none","0"
"Dromaius_","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Xenicus_giliventris.1","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Rynochetus_jubatus","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Tamandua_tetradactyla","Houssaye et al. (2016)","","",39,39,0,0,0.791,10.2,1.008600172,0,"0","none","0"
"Rhynchocyon_petersi","This study","NHMUK_2D_1886.9.21.1","",39,39,0,0,0.482,5.36,0.72916479,0,"0","none","0"
"Rangifer_tarandus","Houssaye et al. (2016)","","",39,39,0,0,0.457,28.2,1.450249108,0,"0","none","0"
"Megaloceros_sp","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Brachyodus_onoideum","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Procyon_lotor","Hayashi et al. (2015)","NSMM34935","CT scan",39,39,0,0,0.66,12.7,1.103803721,0,"0","none","0"
"Elephas_maximus","Houssaye et al. (2016)","","",39,39,0,0,0.772,104.6,2.019531685,0,"0","none","0"
"Bison_bonasus","Houssaye et al. (2016)","","",39,39,0,0,0.545,63.6,1.803457116,0,"0","none","0"
"Euroscaptor_micrura","This study","NHMUK_99_10_25.1","",39,39,0,0,0.689,1.35,0.130333768,0,"0","none","0"
"Syncerus_caffer","Houssaye et al. (2016)","","",39,39,0,0,0.73,47,1.672097858,0,"0","none","0"
"Capreolus_capreolus","Houssaye et al. (2016)","","",39,39,0,0,0.479,14.3,1.155336037,0,"0","none","0"
"Tribonyx_mortieri","This study","NHMUK_S1970.4.3_2","CT scan",39,39,0,0,0.514,8.15,0.911157609,0,"0","none","0"
"Ceratotherium_simum","Houssaye et al. (2016)","","",39,39,0,0,0.82,92.6,1.966610987,0,"0","none","0"
"Megaloceros_sp.1","Houssaye et al. (2016)","","",37,39,3.2,0,0.511,60.9,1.784617293,0,"0","none","0"
"Sus_scrofa","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Sphenodon_punctatus","Schucht et al. (2021)","NHMW 8108:2","Thin section",39,39,0,0,0.778,3.86,0.586587305,0,"0","none","0"
"Strigiops_habroptilus","This study","NHMUK_1881.1.17.71","CT scan",39,39,0,0,0.421,6.82,0.833784375,0,"0","none","0"
"Hemiechinus_azurites.1","This study","156626","",39,39,0,0,0.75,3.87,0.587710965,0,"0","none","0"
"Rynochetus_jubatus.1","This study","FMNH_291228","CT scan",39,39,0,0,0.403,6.68,0.824776462,0,"0","none","0"
"Vulpes_vulpes","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Alces_americanus","Houssaye et al. (2016)","","",39,39,0,0,0.6,45.1,1.654176542,0,"0","none","0"
"Rhynchocyon_petersi.1","This study","NHMUK_2D_1886.9.21.1","",39,39,0,0,0.482,5.36,0.72916479,0,"0","none","0"
"Dromaius_.1","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Rupicapra_rupicapra","Houssaye et al. (2016)","","",39,39,0,0,0.451,16.1,1.206825876,0,"0","none","0"
"Dama_dama.1","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Meles_meles","Houssaye et al. (2016)","","",39,39,0,0,0.631,11.5,1.06069784,0,"0","none","0"
"Brachyodus_onoideum.1","Houssaye et al. (2021)","NMB S.O. 5897","CT scan",31,31,20.44,15.97,0.749,78.44,1.894537585,0,"0","none","0"
"Caloenas_nicobarica","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Loxodonta_africana","Houssaye et al. (2016)","","",39,39,0,0,0.855,165.5,2.218797998,0,"0","none","0"
"Syncerus_caffer.1","Houssaye et al. (2016)","","",39,39,0,0,0.73,47,1.672097858,0,"0","none","0"
"Dromaius_.2","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Tenrec_ecaudatus","This study","UMMZ_138441","",39,39,0,0,0.8,4.55,0.658011397,0,"0","none","0"
"Myrmecophaga_tridactyla","Houssaye et al. (2016)","","",39,39,0,0,0.759,32.1,1.506505032,0,"0","none","0"
"Rattus_rattus","This study","","",39,39,0,0,0.572,2.69,0.42975228,0,"0","none","0"
"Sus_scrofa.1","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Paguma_larvata.1","Hayashi et al. (2015)","NSMM36806","CT scan",39,39,0,0,0.656,9.3,0.968482949,0,"0","none","0"
"Bos_taurus","Houssaye et al. (2016)","","",39,39,0,0,0.697,23.9,1.378397901,0,"0","none","0"
"Strigiops_habroptilus.1","This study","NHMUK_1881.1.17.71","CT scan",39,39,0,0,0.421,6.82,0.833784375,0,"0","none","0"
"Caloenas_nicobarica.1","This study","FMNH_314877","CT scan",39,39,0,0,0.353,5.56,0.745074792,0,"0","none","0"
"Rattus_rattus.1","This study","","",39,39,0,0,0.572,2.69,0.42975228,0,"0","none","0"
"Dama_dama.2","Houssaye et al. (2016)","","",39,39,0,0,0.55,25.8,1.411619706,0,"0","none","0"
"Vulpes_vulpes.1","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Apteryx_owenii_","This study","UMZC_378","CT scan",39,39,0,0,0.471,8.32,0.920123326,0,"0","none","0"
"Felis_felis","Houssaye et al. (2016)","","",39,39,0,0,0.544,9.6,0.982271233,0,"0","none","0"
"Sus_scrofa.2","Houssaye et al. (2016)","","",39,39,0,0,0.545,34.2,1.534026106,0,"0","none","0"
"Sphenodon_punctatus.1","Schucht et al. (2021)","NHMW 8108:2","Thin section",39,39,0,0,0.778,3.86,0.586587305,0,"0","none","0"
"Okapia_johnstoni","Houssaye et al. (2016)","","",39,39,0,0,0.632,38.9,1.589949601,0,"0","none","0"
"Diplomesodon_pulchellum","This study","FMNH137436","",39,39,0,0,0.761,0.921,-0.03574037,0,"0","none","0"
"Dromaius_.3","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,0,"0","none","0"
"Xenicus_giliventris.2","This study","NHMUK_1940.12.8.145","CT scan",39,39,0,0,0.355,1.34,0.127104798,0,"0","none","0"
"Vulpes_vulpes.2","Houssaye et al. (2016)","","",39,39,0,0,0.533,10.4,1.017033339,0,"0","none","0"
"Serpianosaurus","Hugi et al. (2011)","T105","Thin section",1,1,247.2,242,0.989,4.8,0.681241237,0,"2","diving","2"
"Anarosaurus","Klein (2010)","IGWH-24","Thin section",1,1,247.2,242,0.901,10,1,0,"2","diving","2"
"Simosaurus","Klein & Griebeler (2016)","SMNS 91983","Thin section",1,2,247.2,237,0.865,22.97,1.361160995,0,"2","diving","2"
"Castor_fiber","Hayashi et al. (2015)","IPB M2","CT scan",39,39,0,0,0.749,29,1.462397998,0,"2","diving","2"
"Nothosaurus_102","Klein (2010)","Wijk-06-102","Thin section",2,2,242,237,0.955,5.168,0.713322505,0,"2","diving","2"
"Nothosaurus_mirabilis","Krahl et al. (2013)","SIPB R 54/1","Thin section",2,2,242,237,0.828,16.09,1.206556044,0,"2","diving","2"
"Plesiosaurus","Wintrich et al. (2017)","STIPB R 89","Thin section",7,7,199.3,190.8,0.9,41,1.612783857,0,"2","diving","2"
"Chapsosaurus_","Katsura (2010)","UCMP142195","Thin section",24,24,66,61.6,0.968,7.85,0.894869657,0,"2","diving","2"
"Simosaurus_1","Klein & Griebeler (2016)","SMNS 18689","Thin section",1,2,247.2,237,0.764,22.9,1.359835482,0,"2","diving","2"
"Otaria_byronia","Quemeneur et al. (2013)","Uncutalogued","Thin section",39,39,0,0,0.821,22.28,1.347915187,0,"2","diving","2"
"Desmana_moschata","This study","UMMZ_124125","",39,39,0,0,0.89,5.1,0.707570176,0,"2","diving","2"
"Psephoderma","Klein et al. (2015)","PIMUZ A/III","Thin section",5,5,208.5,201.3,0.843,9.37,0.971739591,0,"2","diving","2"
