"","actual class","predicted class","N","median P(diving)"
"Mammuthus_sp","0","2","100","0.85"
"Procavia_capensis","0","2","100","0.54"
"Tenrec_ecaudatus","0","2","100","0.78"
"Myrmecophaga_tridactyla","0","2","100","0.77"
"Castor_fiber","2","2","100","0.75"
"Meles_meles","0","0","0","0.37"
"Phocanella_pumila","2","2","100","0.97"
"Basilosaurus","2","2","100","0.96"
"Rangifer_tarandus","0","0","0","0.09"
"Simosaurus","2","2","100","0.97"
"Spinosaurus_.11",NA,"0","11","0.49"
"Spinosaurus_.10",NA,"2","100","0.52"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.84"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.35"
"Suchomimus.2",NA,"2","100","0.53"
"Suchomimus.1",NA,"0","0","0.33"
"Suchomimus",NA,"2","100","0.52"
"Baryonyx",NA,"2","100","0.95"
"Atlantisia_rogersi","0","0","0","0.06"
