"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.55"
"Rhynchocyon_petersi","0","0","0","0.09"
"Mus_musculus","0","0","0","0.07"
"Lutra_vulgaris","2","2","100","0.88"
"Leptophoca_proxima","2","2","100","0.69"
"Nyctereutes_procyonoides","0","0","0","0.36"
"Dicerorhinus_sumatrensis","0","2","100","0.8"
"Chapsosaurus_","2","2","100","0.96"
"Placondontia_indet","2","2","100","1"
"Neusticosaurus","2","2","100","1"
"Cricosaurus","2","2","100","0.94"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","91","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.33"
"Suchomimus",NA,"2","100","0.51"
"Baryonyx",NA,"2","100","0.95"
"Strigiops_habroptilus","0","0","0","0.05"
