"","actual class","predicted class","N","median P(diving)"
"Dasyurus_maculatus","0","2","100","0.63"
"Desmostylus_hesperus","2","0","0","0.28"
"Vulpes_vulpes","0","0","0","0.14"
"Felis_felis","0","0","0","0.16"
"Dicerorhinus_sumatrensis","0","2","100","0.75"
"Indohyus","2","2","100","0.91"
"Hippopotamus_amphibius","2","2","100","0.86"
"Dama_dama","0","0","0","0.19"
"Ichtyosaur_sp","2","2","100","0.77"
"Ichtyosaurus_","2","0","0","0.27"
"Spinosaurus_.11",NA,"0","0","0.4"
"Spinosaurus_.10",NA,"0","0","0.43"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.92"
"Spinosaurus_.7",NA,"2","100","0.87"
"Spinosaurus_.6",NA,"2","100","0.79"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.87"
"Spinosaurus_.1",NA,"2","100","0.78"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.7"
"Baryonyx.2",NA,"2","100","0.85"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.23"
"Suchomimus.2",NA,"0","0","0.4"
"Suchomimus.1",NA,"0","0","0.23"
"Suchomimus",NA,"0","0","0.39"
"Baryonyx",NA,"2","100","0.93"
"Strigiops_habroptilus","0","0","0","0.04"
"Rynochetus_jubatus","0","0","0","0.03"
