"","actual class","predicted class","N","median P(diving)"
"Remingtonocetus","2","2","100","0.79"
"Maiacetus","2","2","100","0.98"
"Brachyodus_onoideum","0","2","100","0.78"
"Choeropsis_liberiensis","2","2","100","0.77"
"Bison_bonasus","0","0","0","0.25"
"Megaloceros_sp","0","0","0","0.18"
"Protochampsidae","2","0","0","0.23"
"Caiman_yacare","2","2","100","0.92"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","27","0.49"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","48","0.5"
"Baryonyx",NA,"2","100","0.95"
"Apteryx_owenii_","0","0","0","0.07"
"Xenicus_giliventris","0","0","0","0.01"
"Small_Eocene_penguin","2","2","100","0.96"
"Aptenodytes______","2","2","100","0.9"
