"","actual class","predicted class","N","median P(diving)"
"Dasyurus_maculatus","0","2","100","0.66"
"Chironectes_minimus","2","2","100","0.88"
"Tenrec_ecaudatus","0","2","100","0.8"
"Rattus_rattus","0","0","0","0.22"
"Mustela_nivalis","0","0","0","0.34"
"Taxidea_taxus","0","2","100","0.55"
"Paguma_larvata","0","0","0","0.44"
"Lama_guanicoe","0","0","0","0.09"
"Cephalophus_silvicultor","0","0","0","0.44"
"Ichtyosaur_sp","2","2","100","0.81"
"Plesiosaurus","2","2","100","0.97"
"Metryorhynchus","2","2","100","0.89"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.89"
"Spinosaurus_.6",NA,"2","100","0.81"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.74"
"Baryonyx.2",NA,"2","100","0.87"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.27"
"Suchomimus.2",NA,"0","0","0.45"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.44"
"Baryonyx",NA,"2","100","0.93"
